object_type,altitude_km,inclination_deg,eccentricity,mass_kg,area_m2,drag_coeff,mean_motion,solar_activity,decay_time_days
Debris,1176.8,12.08,0.0267,1527.47,10.665,1.8,14.114,Low,4000.0
Active,310.72,50.82,0.0299,517.27,2.767,2.16,11.764,Medium,4000.0
Active,622.55,24.09,0.0184,962.09,11.829,2.19,15.224,Low,3186.3
Debris,242.02,35.1,0.0404,1984.04,6.303,2.38,11.979,Medium,4000.0
Debris,939.9,96.97,0.0262,1373.61,1.056,2.15,15.661,Low,4000.0
Debris,1118.08,67.06,0.0059,1682.87,18.974,2.44,12.253,Low,4000.0
Debris,480.04,93.0,0.0065,830.28,12.833,2.24,14.669,Low,1767.4
Active,1058.34,13.97,0.0269,1535.95,17.54,2.39,12.423,Medium,4000.0
Debris,492.22,37.45,0.0468,81.98,13.524,1.9,12.589,Medium,268.9
Active,1110.77,54.36,0.0155,246.7,7.146,2.4,12.55,Medium,3492.8
Debris,953.96,7.52,0.0435,406.94,10.259,2.27,14.739,Low,2611.1
Active,1004.91,0.41,0.0382,804.5,13.518,1.92,13.784,Low,4000.0
Active,218.01,65.7,0.0125,1691.64,19.205,1.93,15.415,Medium,1334.5
Debris,1162.81,62.9,0.0019,693.19,5.081,2.45,12.537,Low,4000.0
Debris,926.67,40.26,0.0052,1309.59,17.501,1.82,14.46,Medium,4000.0
Debris,504.75,47.99,0.0365,1418.92,18.482,2.12,14.765,Low,2365.4
Debris,1029.39,40.71,0.0101,1172.78,13.412,2.02,11.757,Medium,4000.0
Debris,481.52,2.35,0.0186,715.13,18.626,2.27,13.003,Medium,1385.5
Debris,1072.75,32.87,0.0251,1154.53,7.964,2.39,13.414,High,4000.0
Debris,312.58,17.35,0.0363,685.19,19.061,2.05,12.778,Low,614.3
Debris,903.69,9.65,0.0058,168.66,14.059,2.1,12.611,Low,795.6
Debris,740.7,93.76,0.0204,1985.62,0.85,2.49,14.432,Medium,4000.0
Debris,296.53,58.74,0.0243,255.24,18.138,2.35,12.079,High,391.8
Debris,441.89,71.41,0.0271,145.62,9.695,2.43,14.547,High,679.3
Debris,212.4,30.91,0.0409,1757.18,9.212,2.11,15.675,Medium,2555.3
Active,668.77,38.53,0.0087,604.37,11.334,1.96,13.826,Medium,3415.8
Debris,501.27,23.22,0.0404,1300.94,2.996,2.09,14.057,Medium,4000.0
Debris,798.36,9.5,0.0347,658.68,9.389,2.3,11.345,Medium,4000.0
Debris,497.24,17.55,0.0278,783.52,16.624,1.88,15.322,Medium,2141.2
Debris,499.92,78.16,0.035,524.96,0.319,1.99,12.427,High,4000.0
Debris,943.19,66.4,0.0207,686.74,5.466,1.83,14.075,Medium,4000.0
Debris,248.14,53.6,0.007,821.99,0.059,2.1,15.896,Medium,4000.0
Debris,1102.89,46.56,0.0333,1441.11,8.32,2.38,13.978,Medium,4000.0
Active,1052.26,90.4,0.0263,1023.56,14.569,1.82,14.624,Medium,4000.0
Active,867.8,7.13,0.032,1887.19,15.977,2.27,13.227,Medium,4000.0
Active,793.22,27.5,0.017,84.72,18.904,2.45,11.302,Medium,286.7
